,Unnamed: 0,Unnamed: 0.1,file,age,gender,race,service_test,phototype
0,0,0,train/1.jpg,50-59,Male,East Asian,True,III
7,7,9,train/10.jpg,30-39,Male,Middle Eastern,False,V
66,78,99,train/100.jpg,20-29,Female,East Asian,False,III
686,748,999,train/1000.jpg,30-39,Male,White,False,I & II
6877,7415,10003,train/10004.jpg,40-49,Male,Indian,False,V
6878,7416,10004,train/10005.jpg,20-29,Male,Southeast Asian,False,V
6879,7417,10005,train/10006.jpg,20-29,Male,Latino_Hispanic,True,IV
6880,7418,10007,train/10008.jpg,20-29,Female,Latino_Hispanic,False,IV
687,749,1000,train/1001.jpg,40-49,Male,Black,False,VI
6881,7419,10009,train/10010.jpg,20-29,Male,Black,True,VI
6882,7420,10012,train/10013.jpg,20-29,Female,Middle Eastern,True,V
6883,7422,10014,train/10015.jpg,30-39,Male,Indian,False,V
6884,7423,10015,train/10016.jpg,50-59,Male,Latino_Hispanic,False,IV
6885,7424,10016,train/10017.jpg,50-59,Male,Indian,False,V
6886,7425,10017,train/10018.jpg,20-29,Female,White,False,I & II
6887,7426,10018,train/10019.jpg,40-49,Male,Latino_Hispanic,True,IV
688,750,1001,train/1002.jpg,30-39,Female,Black,False,VI
6888,7427,10020,train/10021.jpg,20-29,Male,Black,True,VI
6889,7428,10023,train/10024.jpg,30-39,Female,Latino_Hispanic,True,IV
6890,7429,10024,train/10025.jpg,20-29,Female,Middle Eastern,True,V
6891,7430,10025,train/10026.jpg,20-29,Male,East Asian,True,III
6892,7431,10028,train/10029.jpg,20-29,Female,East Asian,True,III
689,751,1002,train/1003.jpg,30-39,Female,Latino_Hispanic,False,IV
6893,7432,10029,train/10030.jpg,50-59,Male,East Asian,True,III
6894,7433,10031,train/10032.jpg,20-29,Female,Black,True,VI
6895,7434,10032,train/10033.jpg,50-59,Male,Latino_Hispanic,True,IV
6896,7435,10033,train/10034.jpg,30-39,Female,Black,False,VI
6897,7436,10035,train/10036.jpg,20-29,Female,Latino_Hispanic,False,IV
6898,7438,10037,train/10038.jpg,20-29,Female,Latino_Hispanic,True,IV
6899,7439,10038,train/10039.jpg,40-49,Male,White,False,I & II
690,752,1003,train/1004.jpg,40-49,Male,Latino_Hispanic,False,IV
6900,7440,10041,train/10042.jpg,20-29,Male,Southeast Asian,False,V
6901,7442,10043,train/10044.jpg,20-29,Female,Southeast Asian,False,V
6902,7444,10046,train/10047.jpg,20-29,Female,Black,False,VI
6903,7445,10047,train/10048.jpg,20-29,Female,Black,True,VI
691,753,1004,train/1005.jpg,50-59,Male,East Asian,False,III
6904,7447,10049,train/10050.jpg,20-29,Male,Black,True,VI
6905,7448,10050,train/10051.jpg,20-29,Male,Southeast Asian,False,V
6906,7449,10052,train/10053.jpg,30-39,Male,Black,False,VI
